"id","area","address","building","longitude","latitude"
"51","北京 - 昌平 - 回龙观","华北电力大学","华北电力大学","NULL","NULL"
"52","北京 - 海淀 - 西北旺","永丰基地","永丰基地","NULL","NULL"
"53","北京 - 丰台 - 花乡","科丰桥外总部基地外环西路","商务酒店","NULL","NULL"
"54","北京 - 朝阳 - 西大望路","珠江帝景1号楼    查看地图","合生房地产开发有限公司","NULL","NULL"
"55","北京 - 宣武","荣丰2008小区12号楼","荣丰2008社区","NULL","NULL"
"56","北京 - 丰台","新发地中央市场西门","新发地中央市场西门","NULL","NULL"
"57","北京 - 通州 - 梨园城铁","出口就是","梨园城铁淘宝城","NULL","NULL"
"58","北京 - 昌平 - 北七家","天通苑周边","天通苑周边","NULL","NULL"
"59","北京 - 丰台 - 科技园区","西四环南路，冠京隆市场","看丹桥附近","NULL","NULL"
"60","北京 - 朝阳","朝阳双桥","朝阳双桥","NULL","NULL"
"61","北京 - 昌平","昌平县城五街社区","社区","NULL","NULL"
"62","北京 - 朝阳 - 安贞","北三环","安贞附近","NULL","NULL"
"63","北京 - 海淀 - 五道口","五道口","NULL","NULL","NULL"
"64","北京 - 海淀 - 清河","翠微百货对面","清河天兰尾货","NULL","NULL"
"65","北京 - 通州","玉带河","个人诊所","NULL","NULL"
"66","北京 - 海淀 - 永定路","永金里","市场","NULL","NULL"
"67","北京 - 西城 - 西单","西单明珠商城","西单明珠商城五层","NULL","NULL"
"68","北京 - 海淀 - 定慧寺","永金里","盈利超市","NULL","NULL"
"69","北京 - 通州 - 梨园城铁","今日时代服装城","今日时代服装城","NULL","NULL"
"70","北京 - 通州 - 梨园城铁","今日时代服装城","今日时代服装城","NULL","NULL"
"71","北京 - 丰台 - 南苑","大红门商贸城早市2楼","北京大红门商贸城早市","NULL","NULL"
"72","北京 - 朝阳","[朝阳  亚奥] 朝阳慧忠里103楼    查看地图","洛克时代中心","NULL","NULL"
"73","北京 - 海淀 - 四季青","欧尚三层","爱普奥特莱斯","NULL","NULL"
"74","北京 - 朝阳","[朝阳  亚奥] 朝阳安立路68号亚运村    查看地图","阳光广场","NULL","NULL"
"75","北京 - 朝阳 - 管庄","常营路口","常营路口南","NULL","NULL"
"76","北京 - 通州 - 其他","牛堡屯","通州牛堡屯","NULL","NULL"
"77","北京 - 海淀 - 田村","天下城市场","天下城市场","NULL","NULL"
"78","北京 - 海淀 - 田村","天下城","天下城市场","NULL","NULL"
"79","北京 - 海淀 - 公主坟","[海淀  公主坟] 海淀翠微路5号    查看地图","新华联国际","NULL","NULL"
"80","北京 - 丰台","百荣世贸商城二期二层帝豪早市七通道","帝豪童装早市","NULL","NULL"
"81","北京 - 顺义 - 光明","顺义区绿港家园一区","顺义区金汉绿港","NULL","NULL"
"82","北京 - 通州 - 梨园","云景东路437、甲437号","桃花岛商铺","NULL","NULL"
"83","北京 - 西城 - 月坛","月坛1号","月坛北街","NULL","NULL"
"84","北京 - 丰台 - 六里桥","亿客隆","六里桥亿客隆","NULL","NULL"
"85","北京 - 海淀 - 定慧寺","恩济庄96号院2号楼底商","恩济庄96号院","NULL","NULL"
"86","北京 - 海淀 - 五道口","华清嘉园","华清嘉园","NULL","NULL"
"87","北京 - 朝阳 - 豆各庄","王子营","王子营","NULL","NULL"
"88","北京 - 朝阳 - 北苑","红军营东路    查看地图","赢秋苑底商","NULL","NULL"
"89","北京 - 丰台 - 花乡","万年花城","NULL","NULL","NULL"
"90","北京 - 昌平 - 立水桥","立水桥","明珠百货大厦","NULL","NULL"
"91","北京 - 昌平 - 立水桥","城铁立水桥站下车向北500米既到","万意百货","NULL","NULL"
"92","北京 - 丰台 - 洋桥","洋桥北里15号楼一层药店旁边    查看地图","小区底商","NULL","NULL"
"93","北京 - 东城 - 王府井","距离北京站，王府井均千米    查看地图","临街公交车站旁","NULL","NULL"
"94","北京 - 昌平 - 昌平县城","南大街    查看地图","昌平鑫隆百货市场","NULL","NULL"
"95","北京 - 丰台 - 六里桥","六里桥亿客隆一层旺铺","六里桥亿客隆","NULL","NULL"
"96","北京 - 丰台 - 方庄","方庄桥南路","方恒偶寓","NULL","NULL"
"97","北京 - 顺义 - 机场","六元桥顺沙路交汇处","顺义周边","NULL","NULL"
"98","北京 - 丰台 - 西客站","西站南路","亮洁洗车","NULL","NULL"
"99","北京 - 海淀 - 人民大学","苏州街人民大学西门外(城乡仓储大超市对面)","地铁奶茶","NULL","NULL"
"100","北京 - 西城 - 小西天","铁狮子坟","奶茶店","NULL","NULL"
"101","北京 - 海淀 - 中关村","中关村e世界","中关村e世界","NULL","NULL"
"102","北京 - 朝阳 - 大屯","本店为知名连锁品牌洗衣店","亚运村大屯盈利知名品牌洗衣店转让","NULL","NULL"
"103","北京 - 西城 - 展览路","阜成门外大街259号","天意新商城","NULL","NULL"
"104","北京 - 顺义 - 马坡","农村药店，离马坡桥10分钟距离","农村药店","NULL","NULL"
"105","北京 - 朝阳 - 朝青板块","太平庄站牌","朝清汇","NULL","NULL"
"106","北京 - 海淀 - 上地","上地","低价急转中型水站","NULL","NULL"
"107","北京 - 朝阳 - 北苑","上海金山，金山大道888。","上海金山国际贸易城","NULL","NULL"
"108","北京 - 海淀 - 四季青","西冉村","四季青  佟家坟   西冉村","NULL","NULL"
"109","北京 - 朝阳","朝阳区金隅国际大厦向东直行100米    查看地图","花家地西里","NULL","NULL"
"110","北京 - 东城 - 王府井","东方广场，新东安，王府井百货","王府井大街","NULL","NULL"
"111","北京 - 朝阳 - 垡头","西直河","西直河","NULL","NULL"
"112","北京 - 东城 - 和平里","和平里北街","底商","NULL","NULL"
"113","北京 - 顺义","奉伯","早点。烧烤","NULL","NULL"
"114","北京 - 宣武 - 广安门","广外医院南200米    查看地图","宣武区广外医院南200米","NULL","NULL"
"115","北京 - 朝阳","朝阳北路延静里底商","朝阳北路延静里底商","NULL","NULL"
"116","北京 - 丰台 - 方庄","家乐福二楼时尚阳光市场","时尚阳光市场","NULL","NULL"
"117","北京 - 昌平 - 昌平县城","鑫隆市场西口入口处","鑫隆市场西口入口处","NULL","NULL"
"118","北京 - 朝阳 - 八里庄","住总建材市场附近","八里庄北里","NULL","NULL"
"119","北京 - 昌平 - 回龙观","回龙观","回龙观","NULL","NULL"
"120","北京 - 海淀","北大南门","北大南门对面","NULL","NULL"
"121","北京 - 朝阳 - 东坝","西北门","朝阳区东坝","NULL","NULL"
"122","北京 - 朝阳 - 东坝","东坝中街    查看地图","红松园北里16号","NULL","NULL"
"123","北京 - 通州 - 其他","北京通州区苏坨新村（珠江国际城）","北京通州区苏坨新村（珠江国际城）","NULL","NULL"
"124","北京 - 大兴 - 黄村","市场街","大兴黄村","NULL","NULL"
"125","北京 - 宣武","广安门货站","小红庙","NULL","NULL"
"126","北京 - 大兴 - 旧宫","大兴区旧宫西路","NULL","NULL","NULL"
"127","北京 - 西城 - 西直门","天和白马","天和白马","NULL","NULL"
"128","北京 - 海淀 - 蓟门桥","三环跃","早餐店食品烟洒早点粥煎饼肉加馍等等","NULL","NULL"
"129","北京 - 朝阳 - 左家庄","百灵大厦对面","一层平房出租","NULL","NULL"
"130","北京 - 西城 - 西直门","动物园天和白马","动物园天和白马","NULL","NULL"
"131","北京 - 东城 - 东直门","街面门脸","东直门簋街","NULL","NULL"
"132","北京 - 朝阳 - 亚运村","亚运村安慧北里秀园小区12","亚运村安慧北里秀园小区12","NULL","NULL"
"133","北京 - 顺义 - 机场","都机场货运北路3号海航北京基地员工餐厅","海航北京基地员工餐厅","NULL","NULL"
"134","北京 - 朝阳 - 八里庄","朝阳路","朝阳路","NULL","NULL"
"135","北京 - 丰台 - 青塔","玉泉路南  小屯路","博龙家园","NULL","NULL"
"136","北京 - 朝阳 - 亚运村","北苑家园","北苑家园","NULL","NULL"
"137","北京 - 丰台 - 青塔","玉泉路南  小屯路","博龙家园","NULL","NULL"
"138","北京 - 海淀 - 西直门","文慧园斜街，既同一首歌附近。","文慧园斜街","NULL","NULL"
"139","北京 - 昌平 - 沙河镇","定福黄庄碧水庄园对面","平房","NULL","NULL"
"140","北京 - 宣武 - 虎坊桥","南新华街","南新华街","NULL","NULL"
"141","北京 - 海淀 - 蓟门桥","三环附近","北京三环","NULL","NULL"
"142","北京 - 通州 - 梨园城铁","金日时代","金日时代","NULL","NULL"
"143","北京 - 西城 - 金融街","成门金融街商圈北部(浙商银行北面)整栋商用房","成门金融街商圈北部(浙商银行北面)","NULL","NULL"
"144","北京 - 顺义","早市","顺义早市","NULL","NULL"
"145","北京 - 通州 - 武夷花园","荔景园小区东门底商","转租荔景园洗车店","NULL","NULL"
"146","北京 - 昌平 - 天通苑","利康虹桥市场","利康虹桥市场","NULL","NULL"
"147","北京 - 东城","王府井 东方新天地 新东安","王府井","NULL","NULL"
"148","北京 - 丰台 - 西客站","华源四里2号楼","华源四里","NULL","NULL"
"149","北京 - 通州 - 梨园","梨园淘宝城二层","NULL","NULL","NULL"
"150","北京 - 顺义 - 光明","仓上小区甲2号楼","北京顺义建筑企业集团公司办公楼","NULL","NULL"
"151","北京 - 海淀","学院南路","学院南路","NULL","NULL"
"152","北京 - 宣武 - 马连道","马连道西里","马连道西里","NULL","NULL"
"153","北京 - 通州 - 马驹桥","二街","马驹桥二街","NULL","NULL"
"154","北京 - 海淀 - 西三旗","花卉市场","西三旗花卉市场","NULL","NULL"
"155","北京 - 海淀","闵庄南里","精装餐厅","NULL","NULL"
"156","北京 - 朝阳 - 定福庄","三间房CBD    查看地图","CBD东都","NULL","NULL"
"157","北京 - 丰台 - 六里桥","永辉超市 肯德基 北京宴","军医科大","NULL","NULL"
"158","北京 - 丰台 - 草桥","草桥东路    查看地图","草桥东路","NULL","NULL"
"159","北京 - 朝阳 - 大山子","798艺术区内","798艺术区","NULL","NULL"
"160","北京 - 朝阳 - 定福庄","三间房CBD    查看地图","底商","NULL","NULL"
"161","北京 - 海淀 - 马连洼","天秀一号","天秀1号","NULL","NULL"
"162","北京 - 大兴 - 黄村","清源西理五小北校区对面","清源西理五小北校区对面","NULL","NULL"
"163","北京 - 丰台","丰台七里庄","丽泽桥东大街","NULL","NULL"
"164","北京 - 通州 - 其他","双桥别墅","双桥别墅","NULL","NULL"
"165","北京 - 海淀 - 双榆树","6号楼","社区底商","NULL","NULL"
"166","北京 - 丰台 - 方庄","方庄分钟寺481号运动休闲一条街地铁旁","方庄分钟寺地铁东侧燕竹医院对面","NULL","NULL"
"167","北京 - 昌平 - 回龙观","西大街万意百货","北店时代广场","NULL","NULL"
"168","北京 - 朝阳 - 双桥","传媒大学和二外旁边临街旺铺转让","传媒大学和二外旁边临街旺铺转让","NULL","NULL"
"169","北京 - 朝阳","珠江帝景","珠江帝景","NULL","NULL"
"170","北京 - 通州 - 其他","漷县镇马头工业园区","NULL","NULL","NULL"
"171","北京 - 丰台 - 西客站","建银饭店东侧","西客站南广场","NULL","NULL"
"172","北京 - 朝阳","[朝阳  CBD] 东大桥路8号    查看地图","SOHO尚都","NULL","NULL"
"173","北京 - 昌平 - 城北","昌平御路园小区","昌平御路园小区","NULL","NULL"
"174","北京 - 西城 - 西直门","西直门动物园服装市场","动物园万容天地","NULL","NULL"
"175","北京 - 东城","[东城  东四] 东四北大街343号    查看地图","瑞城亿兴大厦","NULL","NULL"
"176","北京 - 西城 - 西单","华威","华威","NULL","NULL"
"177","北京 - 海淀","花园路甲12号    查看地图","逸来顺饭庄","NULL","NULL"
"178","北京 - 朝阳 - 百子湾","[朝阳  百子湾] 百子湾16号    查看地图","后现代城","NULL","NULL"
"179","北京 - 朝阳 - 百子湾","[朝阳  百子湾] 百子湾16号    查看地图","后现代城","NULL","NULL"
"180","北京 - 崇文","安乐林路10号","蒲黄榆安乐林路店铺转让","NULL","NULL"
"181","北京 - 西城 - 展览路","北京天和白马","北京天和白马","NULL","NULL"
"182","北京 - 通州 - 新华大街","广源电脑城","广源电脑城","NULL","NULL"
"183","北京 - 大兴 - 黄村","育花园三里东侧    查看地图","大兴区高米店地铁北站，物美大卖场，","NULL","NULL"
"184","北京 - 宣武 - 广安门","广安门外椿树管街","NULL","NULL","NULL"
"185","北京 - 丰台 - 右安门","右安门外大街    查看地图","临街商铺","NULL","NULL"
"186","北京 - 朝阳 - 和平街","天丰利商城","天丰利商场","NULL","NULL"
"187","北京 - 延庆 - 延庆","延庆县城内","横生市场内","NULL","NULL"
"188","北京 - 丰台","张郭庄","其它","NULL","NULL"
"189","北京 - 昌平 - 回龙观","回龙观龙腾苑四区","回龙观龙腾苑四区","NULL","NULL"
"190","北京 - 昌平 - 北七家","温都水城文化街金汉府门前","温都水城文化街金汉府门前","NULL","NULL"
"191","NULL","详细地址","NULL","NULL","NULL"
"192","NULL","北京市海淀区四季青桥南","NULL","NULL","NULL"
"193","NULL","NULL","NULL","NULL","NULL"
"194","NULL","NULL","NULL","NULL","NULL"
"195","NULL","NULL","NULL","NULL","NULL"
"196","NULL","和平里西街二环雍和宫桥北","NULL","NULL","NULL"
"197","NULL","日月星辰花卉市场","NULL","NULL","NULL"
"198","NULL","NULL","NULL","NULL","NULL"
"199","NULL","喜隆多","NULL","NULL","NULL"
"200","NULL","NULL","NULL","NULL","NULL"
"201","NULL","NULL","NULL","NULL","NULL"
"202","NULL","NULL","NULL","NULL","NULL"
"203","NULL","NULL","NULL","NULL","NULL"
"204","NULL","NULL","NULL","NULL","NULL"
"205","NULL","报房胡同","NULL","NULL","NULL"
"206","NULL","金码大厦","NULL","NULL","NULL"
"207","NULL","万柳东路","NULL","NULL","NULL"
"208","NULL","北京南站公交枢纽","NULL","NULL","NULL"
"209","北京 - 海淀 - 双榆树","女人街","双榆树","NULL","NULL"
"210","北京 - 朝阳 - CBD","88","CBD","NULL","NULL"
"211","北京 - 海淀 - 清河","上海金山，金山大道888。","上海金山国际贸易城","NULL","NULL"
"212","北京 - 昌平 - 马池口","吉利环岛","北小营","NULL","NULL"
"213","北京 - 宣武 - 马连道","中里","马连道中里","NULL","NULL"
"214","北京 - 大兴 - 旧宫","南小街一队","大兴旧宫南小街","NULL","NULL"
"215","北京 - 通州 - 北关环岛","北京物资学院","通州 北京物资学院","NULL","NULL"
"216","北京 - 西城","福丽特商业街    查看地图","马甸福丽特商业街","NULL","NULL"
"217","北京 - 海淀 - 中关村","[海淀  中关村] 紫竹桥畔31号    查看地图","华澳中心","NULL","NULL"
"218","北京 - 海淀 - 中关村","[海淀  中关村] 紫竹桥畔31号    查看地图","华澳中心","NULL","NULL"
"219","北京 - 通州 - 梨园","云景东里","金侨时代","NULL","NULL"
"220","北京 - 丰台 - 卢沟桥","北京市丰台区宛平城东门口","NULL","NULL","NULL"
"221","北京 - 昌平","西大街北店时代广场万意三层童装","回龙观西大街北店时代广场","NULL","NULL"
"222","北京 - 昌平 - 立水桥","明珠百货","明珠百货","NULL","NULL"
"223","北京 - 丰台 - 玉泉营","夏家胡同","丰台区南方庄一号院","NULL","NULL"
"224","北京 - 海淀 - 学院路","[海淀  学院路] 学清路甲38号    查看地图","金码大厦五道口服装市场","NULL","NULL"
"225","北京 - 海淀","住宅楼底商","大钟寺商业街门面房","NULL","NULL"
"226","北京 - 海淀 - 学院路","海淀区学院路金码大厦四层","金码大厦五道口服装市场","NULL","NULL"
"227","北京 - 大兴","日月星辰花卉市场","日月星辰花卉","NULL","NULL"
"228","北京 - 丰台 - 玉泉营","夏家胡同纪家庙菜市场对面","夏家胡同纪家庙菜市场对面","NULL","NULL"
"229","北京 - 朝阳 - 姚家园","青年路口北    查看地图","北京市朝阳区青年路","NULL","NULL"
"230","北京 - 丰台 - 丽泽桥","丽源路","精图社区","NULL","NULL"
"231","NULL","NULL","NULL","NULL","NULL"
"232","NULL","小区里边","NULL","NULL","NULL"
"233","NULL","不限商圈","NULL","NULL","NULL"
"234","NULL","丰台路口","NULL","NULL","NULL"
"235","NULL","NULL","NULL","NULL","NULL"
"236","NULL","科学院南路","NULL","NULL","NULL"
"237","NULL","通州","NULL","NULL","NULL"
"238","NULL","周边公司多","NULL","NULL","NULL"
"239","北京 - 朝阳 - 百子湾","[朝阳  百子湾] 百子湾甲12号    查看地图","大成国际中心","NULL","NULL"
"240","北京 - 丰台 - 卢沟桥","南里","卢沟桥","NULL","NULL"
"241","北京 - 燕郊","廊坊市安次区码头镇","7月11日后需加5000元","NULL","NULL"
"242","北京 - 昌平 - 北七家","立汤路30号北京太阳城购物中心","太阳城小区","NULL","NULL"
"243","北京 - 怀柔 - 怀柔","怀柔区礼贤街","金台园小区","NULL","NULL"
"244","北京 - 丰台","[丰台  洋桥] 马家堡东路88号1    查看地图","洋桥大厦","NULL","NULL"
"245","北京 - 朝阳 - 潘家园","东里18号","鼎盛市场","NULL","NULL"
"246","北京 - 海淀 - 二里庄","双泉堡","双泉堡","NULL","NULL"
"247","北京 - 海淀 - 清河","双泉堡","双泉堡二手市场市场","NULL","NULL"
"248","北京 - 大兴 - 西红门","京良路","公寓","NULL","NULL"
"249","NULL","将台路","NULL","NULL","NULL"
"250","NULL","NULL","NULL","NULL","NULL"
"251","NULL","NULL","NULL","NULL","NULL"
"252","NULL","NULL","NULL","NULL","NULL"
"253","NULL","NULL","NULL","NULL","NULL"
"254","NULL","NULL","NULL","NULL","NULL"
"255","NULL","四季青路","NULL","NULL","NULL"
"256","NULL","NULL","NULL","NULL","NULL"
"257","NULL","农光里","NULL","NULL","NULL"
"258","NULL","东戴河经济开发区","NULL","NULL","NULL"
"259","NULL","NULL","NULL","NULL","NULL"
"260","NULL","NULL","NULL","NULL","NULL"
"261","NULL","NULL","NULL","NULL","NULL"
"262","NULL","中路","NULL","NULL","NULL"
"263","NULL","龙禧二街临近地铁口商业街","NULL","NULL","NULL"
"264","NULL","双泉堡","NULL","NULL","NULL"
"265","NULL","NULL","NULL","NULL","NULL"
"266","NULL","详细地址","NULL","NULL","NULL"
"267","NULL","NULL","NULL","NULL","NULL"
"268","NULL","时代花园南路","NULL","NULL","NULL"
"269","NULL","NULL","NULL","NULL","NULL"
"270","NULL","NULL","NULL","NULL","NULL"
"271","NULL","NULL","NULL","NULL","NULL"
"272","NULL","NULL","NULL","NULL","NULL"
"273","NULL","详细地址","NULL","NULL","NULL"
"274","NULL","NULL","NULL","NULL","NULL"
"275","NULL","详细地址","NULL","NULL","NULL"
"276","NULL","西单","NULL","NULL","NULL"
"277","NULL","详细地址","NULL","NULL","NULL"
"278","NULL","NULL","NULL","NULL","NULL"
"279","NULL","NULL","NULL","NULL","NULL"
"280","NULL","NULL","NULL","NULL","NULL"
"281","NULL","NULL","NULL","NULL","NULL"
"282","NULL","NULL","NULL","NULL","NULL"
"283","NULL","木樨园西北角","NULL","NULL","NULL"
"284","NULL","NULL","NULL","NULL","NULL"
"285","NULL","NULL","NULL","NULL","NULL"
"286","NULL","NULL","NULL","NULL","NULL"
"287","NULL","E世界","NULL","NULL","NULL"
"288","NULL","E世界","NULL","NULL","NULL"
"289","NULL","NULL","NULL","NULL","NULL"
"290","NULL","NULL","NULL","NULL","NULL"
"291","NULL","天下城市场","NULL","NULL","NULL"
"292","NULL","天下城市场","NULL","NULL","NULL"
"293","NULL","田村天下城市场","NULL","NULL","NULL"
"294","NULL","NULL","NULL","NULL","NULL"
"295","NULL","详细地址","NULL","NULL","NULL"
"296","NULL","NULL","NULL","NULL","NULL"
"297","NULL","NULL","NULL","NULL","NULL"
"298","NULL","NULL","NULL","NULL","NULL"
"299","NULL","NULL","NULL","NULL","NULL"
"300","NULL","青岛市市漳州二路以南，","NULL","NULL","NULL"
"301","NULL","NULL","NULL","NULL","NULL"
"302","NULL","NULL","NULL","NULL","NULL"
"303","NULL","NULL","NULL","NULL","NULL"
"304","NULL","详细地址","NULL","NULL","NULL"
"305","NULL","NULL","NULL","NULL","NULL"
"306","NULL","NULL","NULL","NULL","NULL"
"307","NULL","NULL","NULL","NULL","NULL"
"308","NULL","NULL","NULL","NULL","NULL"
"309","NULL","详细地址","NULL","NULL","NULL"
"310","NULL","NULL","NULL","NULL","NULL"
"311","NULL","NULL","NULL","NULL","NULL"
"312","NULL","NULL","NULL","NULL","NULL"
"313","NULL","NULL","NULL","NULL","NULL"
"314","NULL","人民大学西门","NULL","NULL","NULL"
"315","NULL","NULL","NULL","NULL","NULL"
"316","NULL","E世界","NULL","NULL","NULL"
"317","NULL","阜成门外大街259号","NULL","NULL","NULL"
"318","NULL","详细地址","NULL","NULL","NULL"
"319","NULL","三环边上","NULL","NULL","NULL"
"320","NULL","NULL","NULL","NULL","NULL"
"321","NULL","75号","NULL","NULL","NULL"
"322","NULL","三环边上","NULL","NULL","NULL"
"323","NULL","万意百货一层","NULL","NULL","NULL"
"324","NULL","万意百货一层","NULL","NULL","NULL"
"325","NULL","万意一层招商处","NULL","NULL","NULL"
"326","NULL","万意一层","NULL","NULL","NULL"
"327","NULL","万意百货","NULL","NULL","NULL"
"328","NULL","国贸东","NULL","NULL","NULL"
"329","NULL","第五大道","NULL","NULL","NULL"
"330","NULL","天露园小区（一区）对面","NULL","NULL","NULL"
"331","NULL","NULL","NULL","NULL","NULL"
"332","NULL","蓝色港湾旁","NULL","NULL","NULL"
"333","NULL","NULL","NULL","NULL","NULL"
"334","NULL","香雪兰溪家园23号配套商","NULL","NULL","NULL"
"335","NULL","NULL","NULL","NULL","NULL"
"336","NULL","北大南门","NULL","NULL","NULL"
"337","NULL","罗府家园底商","NULL","NULL","NULL"
"338","NULL","八里庄","NULL","NULL","NULL"
"339","NULL","NULL","NULL","NULL","NULL"
"340","NULL","NULL","NULL","NULL","NULL"
"341","NULL","NULL","NULL","NULL","NULL"
"342","NULL","荔景园小区东门底商","NULL","NULL","NULL"
"343","NULL","东环广场","NULL","NULL","NULL"
"344","NULL","横街子邮局对面","NULL","NULL","NULL"
"345","NULL","NULL","NULL","NULL","NULL"
"346","NULL","北京人文大学","NULL","NULL","NULL"
"347","NULL","亚运村安慧北里秀园小区","NULL","NULL","NULL"
"348","NULL","NULL","NULL","NULL","NULL"
"349","NULL","麦当劳","NULL","NULL","NULL"
"350","NULL","NULL","NULL","NULL","NULL"
"351","NULL","学院南路","NULL","NULL","NULL"
"352","NULL","NULL","NULL","NULL","NULL"
"353","NULL","NULL","NULL","NULL","NULL"
"354","NULL","详细地址","NULL","NULL","NULL"
"355","NULL","易初莲花","NULL","NULL","NULL"
"356","NULL","NULL","NULL","NULL","NULL"
"357","NULL","NULL","NULL","NULL","NULL"
"358","NULL","二街","NULL","NULL","NULL"
"359","NULL","方庄桥东","NULL","NULL","NULL"
"360","NULL","NULL","NULL","NULL","NULL"
"361","NULL","NULL","NULL","NULL","NULL"
"362","NULL","NULL","NULL","NULL","NULL"
"363","NULL","NULL","NULL","NULL","NULL"
"364","NULL","八教地下一层王少然格子铺","NULL","NULL","NULL"
"365","NULL","NULL","NULL","NULL","NULL"
"366","NULL","NULL","NULL","NULL","NULL"
"367","NULL","西门附近","NULL","NULL","NULL"
"368","NULL","华威","NULL","NULL","NULL"
"369","NULL","地铁15号线石门站北侧","NULL","NULL","NULL"
"370","NULL","大望路中学西200米","NULL","NULL","NULL"
"371","NULL","珠江帝景","NULL","NULL","NULL"
"372","NULL","NULL","NULL","NULL","NULL"
"373","NULL","上地十街辉煌国际广场","NULL","NULL","NULL"
"374","NULL","NULL","NULL","NULL","NULL"
"375","NULL","详细地址","NULL","NULL","NULL"
"376","NULL","NULL","NULL","NULL","NULL"
"377","NULL","NULL","NULL","NULL","NULL"
"378","NULL","NULL","NULL","NULL","NULL"
"379","NULL","珠江帝景","NULL","NULL","NULL"
"380","NULL","马泉营","NULL","NULL","NULL"
"381","NULL","广源电脑城","NULL","NULL","NULL"
"382","NULL","东大街游泳场北路甲9号","NULL","NULL","NULL"
"383","NULL","南路东口","NULL","NULL","NULL"
"384","NULL","NULL","NULL","NULL","NULL"
"385","NULL","四道口","NULL","NULL","NULL"
"386","NULL","详细地址","NULL","NULL","NULL"
"387","NULL","NULL","NULL","NULL","NULL"
"388","NULL","悠乐汇","NULL","NULL","NULL"
"389","NULL","西北旺大桥往西200米","NULL","NULL","NULL"
"390","NULL","西路附近","NULL","NULL","NULL"
"391","NULL","九龙山庄","NULL","NULL","NULL"
"392","NULL","NULL","NULL","NULL","NULL"
